"site","sex","OMST","DMST","status"
"Other","females",1,0.5,"ok"
"Other","females",2,0.5,"ok"
"Other","females",2,1,"ok"
"Anus","females",1,0.5,"ok"
"Anus","females",2,0.5,"ok"
"Anus","females",2,1,"ok"
"Bladder","females",1,0.5,"ok"
"Bladder","females",2,0.5,"ok"
"Bladder","females",2,1,"ok"
"Breast","females",1,0.5,"ok"
"Breast","females",2,0.5,"ok"
"Breast","females",2,1,"ok"
"Cervix","females",1,0.5,"ok"
"Cervix","females",2,0.5,"ok"
"Cervix","females",2,1,"ok"
"Colorectal","females",1,0.5,"ok"
"Colorectal","females",2,0.5,"ok"
"Colorectal","females",2,1,"ok"
"Esophagus","females",1,0.5,"ok"
"Esophagus","females",2,0.5,"ok"
"Esophagus","females",2,1,"ok"
"Gallbladder","females",1,0.5,"ok"
"Gallbladder","females",2,0.5,"ok"
"Gallbladder","females",2,1,"ok"
"Headneck","females",1,0.5,"ok"
"Headneck","females",2,0.5,"ok"
"Headneck","females",2,1,"ok"
"Kidney","females",1,0.5,"ok"
"Kidney","females",2,0.5,"ok"
"Kidney","females",2,1,"ok"
"Liver","females",1,0.5,"ok"
"Liver","females",2,0.5,"ok"
"Liver","females",2,1,"ok"
"Lung","females",1,0.5,"ok"
"Lung","females",2,0.5,"ok"
"Lung","females",2,1,"ok"
"Lymphoidleuk","females",1,0.5,"ok"
"Lymphoidleuk","females",2,0.5,"ok"
"Lymphoidleuk","females",2,1,"ok"
"Lymphoma","females",1,0.5,"ok"
"Lymphoma","females",2,0.5,"ok"
"Lymphoma","females",2,1,"ok"
"Melanoma","females",1,0.5,"ok"
"Melanoma","females",2,0.5,"ok"
"Melanoma","females",2,1,"ok"
"Ovary","females",1,0.5,"ok"
"Ovary","females",2,0.5,"ok"
"Ovary","females",2,1,"ok"
"Pancreas","females",1,0.5,"ok"
"Pancreas","females",2,0.5,"ok"
"Pancreas","females",2,1,"ok"
"Plasmacell","females",1,0.5,"ok"
"Plasmacell","females",2,0.5,"ok"
"Plasmacell","females",2,1,"ok"
"Sarcoma","females",1,0.5,"ok"
"Sarcoma","females",2,0.5,"ok"
"Sarcoma","females",2,1,"ok"
"Stomach","females",1,0.5,"ok"
"Stomach","females",2,0.5,"ok"
"Stomach","females",2,1,"ok"
"Thyroid","females",1,0.5,"ok"
"Thyroid","females",2,0.5,"ok"
"Thyroid","females",2,1,"ok"
"Urothelial","females",1,0.5,"ok"
"Urothelial","females",2,0.5,"ok"
"Urothelial","females",2,1,"ok"
"Uterus","females",1,0.5,"ok"
"Uterus","females",2,0.5,"ok"
"Uterus","females",2,1,"ok"
